CATEGORIA,TRIADE,PESO
MERCADO FINANCEIRO,desempenho financeiro empresa,0.85
MERCADO FINANCEIRO,investimento mercado financeiro,0.8
NIVEL RESERVATORIOS,volume morto reservatorio,"1,00"
NIVEL RESERVATORIOS,bacia captacao seca,0.92
NIVEL RESERVATORIOS,recuperacao nivel barragem,0.85
NIVEL RESERVATORIOS,medicao jusante reservatorio,0.8
PATROCINIO,incentivo cultura patrocinio,0.98
PATROCINIO,incentivo cultural patrocinio,0.98
PATROCINIO,apoio cultura patrocinio,0.9
PATROCINIO,apoio cultural patrocinio,0.9
PATROCINIO,patrocinio evento cultura,0.85
PATROCINIO,patrocinio evento cultural,0.85
PATROCINIO,apoio institucional evento,0.75
EXPOSICAO,exposicao arte cultura,"1,00"
EXPOSICAO,exposicao arte cultural,"1,00"
EXPOSICAO,mostra galeria cultura,0.95
EXPOSICAO,mostra galeria cultural,0.95
EXPOSICAO,mostra arte cultura,0.9
EXPOSICAO,mostra arte cultural,0.9
EXPOSICAO,experiencia artistica cultura,0.85
EXPOSICAO,experiencia artistica cultural,0.85
EXPOSICAO,tradicoes cultura exposicao,0.8
EXPOSICAO,costumes cultura exposicao,0.8
QUALIDADE,melhoria continua qualidade,0.98
QUALIDADE,padrao qualidade atendimento,0.9
QUALIDADE,controle qualidade processo,0.85
QUALIDADE,eficiencia qualidade operacao,0.8
QUALIDADE,qualidade servico melhoria,0.75
RELACIONAMENTO COM CLIENTE,ouvidoria atendimento usuario,0.98
RELACIONAMENTO COM CLIENTE,canal atendimento cliente,0.9
RELACIONAMENTO COM CLIENTE,relacionamento cliente qualidade,0.85
RELACIONAMENTO COM CLIENTE,atendimento cliente servico,0.8
RELACIONAMENTO COM CLIENTE,comunicacao cliente servico,0.75
SAUDE,saneamento saude publica,0.98
SAUDE,prevencao saude publica,0.95
SAUDE,qualidade agua saude,0.9
SAUDE,saude populacao agua,0.85
SAUDE,bem estar saude comunidade,0.8
SERVICOS,servico abastecimento agua,0.95
SERVICOS,operacao servico rede,0.9
SERVICOS,manutencao servico sistema,0.85
SERVICOS,prestacao servico publico,0.8
SERVICOS,fornecimento servico populacao,0.75
SUSTENTABILIDADE,esg governanca responsabilidade,"1,00"
SUSTENTABILIDADE,carbono emissao reducao,0.98
SUSTENTABILIDADE,compromisso sustentabilidade futuro,0.9
SUSTENTABILIDADE,sustentabilidade projeto ambiental,0.85
SUSTENTABILIDADE,gestao sustentavel recurso,0.8
SUSTENTABILIDADE,desenvolvimento sustentavel acao,0.75
SUSTENTABILIDADE,reducao impacto ambiental,0.7
